,artist,track
138,"Chino & Nacho, Daddy Yankee",Andas En Mi Cabeza
139,Wisin,Vacaciones
140,Lil Uzi Vert,You Was Right
141,"Sean Paul, Dua Lipa",No Lie
142,Piso 21,Me llamas (feat. Maluma) - Remix
143,San Holo,Light
144,State of Sound,Wake Up Where You Are
145,The Weeknd,Reminder
146,Drake,Hotline Bling
147,"Dante Klein, Cheat Codes",Let Me Hold You (Turn Me On)
148,James Hersey,Miss You
149,"Drake, Future",Jumpman
150,J. Cole,Immortal
151,Bruno Mars,That's What I Like
152,Rae Sremmurd,Swang
153,The Weeknd,Rockin’
154,Anne-Marie,Alarm
155,KREAM,Taped up Heart (feat. Clara Mae)
156,The Weeknd,The Hills
157,Kiiara,Gold
158,Little Mix,Touch
159,"David Guetta, Cedric Gervais, Chris Willis",Would I Lie to You - Radio Edit
160,Maluma,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"
161,Tove Lo,Cool Girl
162,James Bay,Let It Go
163,"Charly Black, Daddy Yankee",Gyal You A Party Animal - Remix
164,MiC LOWRY,Oh Lord
165,Future,Low Life (feat. The Weeknd)
166,Joel Adams,Please Don't Go
167,The Weeknd,Can't Feel My Face
168,JP Cooper,September Song
169,The Weeknd,Die For You
170,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack"
171,Coldplay,Hymn for the Weekend
172,"Marc E. Bassy, G-Eazy",You & Me
173,"DVBBS, CMC$",Not Going Home (feat. Gia Koka)
174,Flume,Say It (feat. Tove Lo)
175,J. Cole,No Role Modelz
176,Lady Gaga,Million Reasons
177,The Weeknd,Secrets
178,Future,Used to This (feat. Drake)
179,"Mura Masa, A$AP Rocky",Love$ick
180,Mark Ronson,Uptown Funk (feat. Bruno Mars)
181,Foster The People,Pumped Up Kicks
182,Queen,Bohemian Rhapsody - Remastered 2011
183,Farruko,Chillax (feat. Ky-Mani Marley)
184,Flo Rida,My House
185,Robin Schulz,Sugar (feat. Francesco Yates)
186,The Weeknd,True Colors
187,Milky Chance,Cocoon
188,Coldplay,Adventure of a Lifetime
189,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton
190,Nicky Jam,Hasta el Amanecer
191,Travis Scott,goosebumps
192,The Killers,Mr. Brightside
193,Kygo,Stay (feat. Maty Noyes)
194,Post Malone,White Iverson
195,Kanye West,Famous
196,John Legend,All of Me
197,Maroon 5,Sugar
198,Passenger,Let Her Go
199,J Balvin,Bobo
200,Ed Sheeran,Shape of You
201,Ed Sheeran,Castle on the Hill
202,"Snakehips, MØ",Don't Leave
203,Ed Sheeran,The A Team
204,Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug"""
205,Isaiah Firebrace,It's Gotta Be You
206,Ed Sheeran,Don't
207,Ed Sheeran,Tenerife Sea
208,"Flo Rida, 99 Percent",Cake - Challenge Version
209,Ed Sheeran,Give Me Love
210,Big Sean,Moves
211,Chris Brown,Party (feat. Usher & Gucci Mane)
212,"Eminem, Nate Dogg",'Till I Collapse
213,"Jax Jones, RAYE",You Don't Know Me - Radio Edit
214,The Chainsmokers,Paris
215,Luis Fonsi,Despacito (Featuring Daddy Yankee)
216,The xx,On Hold
217,The xx,Say Something Loving
218,Migos,T-Shirt
219,A R I Z O N A,Oceans Away
220,The xx,Dangerous
221,Olivia Holt,History
222,Stanaj,Romantic - NOTD Remix
223,Lauv,The Other
224,"Tiësto, Bright Sparks",On My Way
225,Julia Michaels,Issues
226,Halsey,Not Afraid Anymore
227,"Don Omar, Zion & Lennox",Te Quiero Pa´Mi
228,VÉRITÉ,Somebody Else
229,The xx,Lips
230,The xx,I Dare You
231,Nicky Jam,El Amante
232,John Mayer,Moving On and Getting Over
233,"Ryan Gosling, Emma Stone","City Of Stars - From ""La La Land"" Soundtrack"
234,Gucci Mane,Both (feat. Drake)
235,John Mayer,Love on the Weekend
236,PnB Rock,Selfish
237,La La Land Cast,"Another Day Of Sun - From ""La La Land"" Soundtrack"
238,"Post Malone, Quavo",Congratulations
239,Sam Smith,Stay With Me
240,Hozier,Take Me To Church
241,Coldplay,The Scientist
242,"Martin Garrix, Dua Lipa",Scared to Be Lonely
243,Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
244,Zara Larsson,So Good (feat. Ty Dolla $ign)
245,Migos,Kelly Price (feat. Travis Scott)
246,Migos,Call Casting
247,Migos,Slippery (feat. Gucci Mane)
248,Migos,Get Right Witcha
249,Anuel AA,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]"
250,Migos,Culture (feat. DJ Khaled)
251,Migos,Brown Paper Bag
252,"Big Sean, Eminem",No Favors
253,Imagine Dragons,Believer
254,Big Sean,Halfway Off The Balcony
255,"Big Sean, Migos",Sacrifices
256,Big Sean,Jump Out The Window
257,Big Sean,Owe Me
258,Sam Hunt,Body Like A Back Road
259,"Big Sean, Jeremih",Light
260,Big Sean,Voices In My Head/Stick To The Plan
261,Aaron Carter,Sooner Or Later
262,"Daddy Yankee, Ozuna",La Rompe Corazones
263,Khalid,Location
264,"Big Sean, The Flint Chozen Choir, Starrah",Bigger Than Me
265,"Grey, Bahari",I Miss You
266,"Katy Perry, Skip Marley",Chained To The Rhythm
267,Dua Lipa,Be the One
268,"Nick Jonas, Nicki Minaj","Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
269,XXXTENTACION,Look at Me!
270,Beyoncé,Halo
271,Rag'n'Bone Man,Skin
272,Sia,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
273,"Axwell /\ Ingrosso, Kid Ink",I Love You
274,Desiigner,Outlet
275,Marian Hill,Down
276,Sabrina Carpenter,Thumbs
277,Chance the Rapper,Same Drugs
278,"Thomas Gold, Jillian Edwards",Magic
279,Oasis,Wonderwall - Remastered
280,"Burak Yeter, Danelle Sandoval",Tuesday
281,Adele,When We Were Young
282,Kygo,It Ain't Me (with Selena Gomez)
283,"Maroon 5, Future",Cold
284,Ed Sheeran,How Would You Feel (Paean)
285,Lana Del Rey,Love
286,Future,Mask Off
287,Future,Rent Money
288,Linkin Park,Heavy (feat. Kiiara)
289,Future,Draco
290,Kodak Black,Tunnel Vision
291,"The Chainsmokers, Coldplay",Something Just Like This
292,Danny Ocean,Me Rehúso
293,Bag Raiders,Shooting Stars
294,"NAV, The Weeknd",Some Way
295,"Joakim Lundell, Arrhult",All I Need
296,Future,Super Trapper
297,DJ Khaled,Shining (feat. Beyoncé & Jay-Z)
298,"Calvin Harris, Funk Wav",Slide (feat. Frank Ocean & Migos)
299,Zedd,Stay (with Alessia Cara)
300,Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)
301,Future,Comin Out Strong (feat. The Weeknd)
302,Future,Selfish (feat. Rihanna)
303,Stormzy,Big For Your Boots
304,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
305,Ed Sheeran,Shape of You (feat. Nyla & Kranium) - Major Lazer Remix
306,Ed Sheeran,Shape of You - Stormzy Remix
307,MAX,Lights Down Low
308,KALEO,Way down We Go
309,Ed Sheeran,Galway Girl
310,Ed Sheeran,Perfect
311,Ed Sheeran,Happier
312,Ed Sheeran,Dive
313,Ed Sheeran,New Man
314,Ed Sheeran,What Do I Know?
315,Ed Sheeran,Eraser
316,Ed Sheeran,Supermarket Flowers
317,Ed Sheeran,Barcelona
318,Ed Sheeran,Hearts Don't Break Around Here
319,Ed Sheeran,Nancy Mulligan
320,Lorde,Green Light
321,Ed Sheeran,Bibia Be Ye Ye
322,Ed Sheeran,Save Myself
323,XXXTENTACION,Look At Me!
324,Ayo & Teo,Rolex
325,Coldplay,Hypnotised
326,"Ariana Grande, Future",Everyday
327,J Balvin,Sigo Extrañándote
328,"Nicki Minaj, Drake, Lil Wayne",No Frauds
329,Frank Ocean,Chanel
330,Lorde,Liability
331,"Stargate, P!nk, Sia",Waterfall
332,Pitbull,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version
333,"Sebastian Yatra, Nacho, Wisin",Alguien Robo
334,"Ariana Grande, John Legend",美女と野獣
335,Astrid S,Breathe
336,Chance the Rapper,All Night (feat. Knox Fortune)
337,Drake,Passionfruit
338,"Drake, Quavo, Travis Scott",Portland
339,Drake,Free Smoke
340,Drake,Blem
341,Drake,Gyalchester
342,"Drake, Giggs",No Long Talk
343,"Drake, Black Coffee, Jorja Smith",Get It Together
344,Drake,Madiba Riddim
345,"Drake, 2 Chainz, Young Thug",Sacrifices
346,Drake,Teenage Fever
347,"Drake, Giggs",KMT
348,Drake,Jorja Interlude
349,"Drake, Sampha",4422
350,Clean Bandit,Symphony (feat. Zara Larsson)
351,Drake,Skepta Interlude
352,"Drake, Kanye West",Glow
353,Drake,Can't Have Everything
354,Drake,Nothings Into Somethings
355,Drake,Lose You
356,Drake,Do Not Disturb
357,"Drake, Young Thug",Ice Melts
358,"Drake, PARTYNEXTDOOR",Since Way Back
359,Machine Gun Kelly,At My Best (feat. Hailee Steinfeld)
360,Boef,Habiba
361,Zara Larsson,Only You
362,Kendrick Lamar,The Heart Part 4
363,ZAYN,Still Got Time (feat. PARTYNEXTDOOR)
364,Lil Uzi Vert,XO TOUR Llif3
365,Gorillaz,Saturnz Barz (feat. Popcaan)
366,David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne)
367,Gorillaz,Andromeda (feat. DRAM)
368,Gorillaz,Ascension (feat. Vince Staples)
369,Anne-Marie,Ciao Adios
370,G-Eazy,Good Life (with G-Eazy & Kehlani)
371,Kendrick Lamar,HUMBLE.
372,The Chainsmokers,The One
373,"Calvin Harris, Funk Wav","Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)"
374,Logic,Everybody
375,Cheat Codes,No Promises (feat. Demi Lovato)
376,Zara Larsson,TG4M
377,"Prince Royce, Shakira",Deja vu
378,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix
379,Harry Styles,Sign of the Times
380,Halsey,Now Or Never
381,The Chainsmokers,Break Up Every Night
382,The Chainsmokers,Bloodstream
383,"The Chainsmokers, Emily Warren",Don't Say
384,The Chainsmokers,Honest
385,"The Chainsmokers, Emily Warren",My Type
386,"Wisin, Ozuna",Escápate Conmigo
387,"The Chainsmokers, Louane",It Won't Kill Ya
388,The Chainsmokers,Young
389,"The Chainsmokers, Florida Georgia Line",Last Day Alive
390,"The Chainsmokers, Jhené Aiko",Wake Up Alone
391,"Chris Jedi, J Balvin, Ozuna, Arcangel",Ahora Dice
392,"French Montana, Swae Lee",Unforgettable
393,Vice,Obsession (feat. Jon Bellion)
394,blackbear,do re mi
395,Lord Huron,The Night We Met
396,"Cali Y El Dandee, Shaggy",Lumbra
397,Joey Bada$$,DEVASTATED
398,Kendrick Lamar,DNA.
399,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.
400,Kendrick Lamar,ELEMENT.
401,Kendrick Lamar,LOVE. FEAT. ZACARI.
402,"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito - Remix
403,Kendrick Lamar,YAH.
404,Kendrick Lamar,XXX. FEAT. U2.
405,Kendrick Lamar,FEEL.
406,Kendrick Lamar,PRIDE.
407,Kendrick Lamar,LUST.
408,Kendrick Lamar,BLOOD.
409,Kendrick Lamar,FEAR.
410,Kendrick Lamar,GOD.
411,Kendrick Lamar,DUCKWORTH.
412,Lady Gaga,The Cure
413,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black)
414,Shakira,Me Enamoré
415,Bebe Rexha,Bad Bitch (feat. Ty Dolla $ign)
416,"Logic, Damian Lemar Hudson",Black SpiderMan
417,"Lil Yachty, Migos",Peek A Boo
418,Young Thug,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)"
419,Shawn Mendes,There's Nothing Holdin' Me Back
420,Lana Del Rey,Lust for Life (with The Weeknd)
421,Maluma,Felices los 4
422,Charlie Puth,Attention
423,Paramore,Hard Times
424,MØ,Nights With You
425,"CNCO, Yandel",Hey DJ
426,NAV,Up
427,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)"
428,"Kygo, Ellie Goulding",First Time
429,"Katy Perry, Migos",Bon appétit
430,Imagine Dragons,Thunder
431,"Logic, Alessia Cara, Khalid",1-800-273-8255
432,Kiiara,Whippin (feat. Felix Snow)
433,Cashmere Cat,Quit (feat. Ariana Grande)
434,Hailee Steinfeld,Most Girls
435,OneRepublic,No Vacancy
436,Ozuna,Tu Foto
437,"Little Mix, Machine Gun Kelly",No More Sad Songs
438,Nicky Jam,Si Tú La Ves (feat. Wisin)
439,Niall Horan,Slow Hands
440,Harry Styles,Sweet Creature
441,"Logic, Ansel Elgort",Killing Spree
442,"Logic, Killer Mike",Confess
443,"Jonas Blue, William Singe",Mama
444,Playboi Carti,Magnolia
445,Logic,Take It Back
446,"Playboi Carti, Lil Uzi Vert",wokeuplikethis*
447,"Logic, Black Thought, Chuck D, Big Lenbo, No I.D",America
448,Halsey,Eyes Closed
449,Logic,Hallelujah
450,"Logic, Juicy J",Ink Blot
451,Galantis,Hunter
452,Miley Cyrus,Malibu
453,"Calvin Harris, Funk Wav",Rollin (feat. Future & Khalid)
454,Harry Styles,Carolina
455,Imagine Dragons,Whatever It Takes
456,Harry Styles,Meet Me in the Hallway
457,Harry Styles,Two Ghosts
458,Harry Styles,Kiwi
459,Harry Styles,Ever Since New York
460,Harry Styles,Woman
461,Harry Styles,Only Angel
462,Harry Styles,From the Dining Table
463,Nacho,Báilame
464,Selena Gomez,Bad Liar
465,Paramore,Told You So
466,"Liam Payne, Quavo",Strip That Down
467,Camila Cabello,Crying in the Club
468,"Katy Perry, Nicki Minaj",Swish Swish
469,"Alan Walker, Gavin James",Tired
470,"Robin Schulz, James Blunt",OK
471,"Iggy Azalea, Anitta",Switch
472,Travis Scott,BUTTERFLY EFFECT
473,Ofenbach,Be Mine
474,Piso 21,Besándote
475,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",I'm the One
476,David Guetta,2U (feat. Justin Bieber)
477,"Martin Garrix, Troye Sivan",There for You
478,Major Lazer,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
479,Calvin Harris,Slide (feat. Frank Ocean & Migos)
480,Rita Ora,Your Song
481,Axwell /\ Ingrosso,More Than You Know
482,"DJ Khaled, Drake",To the Max
483,Calvin Harris,Rollin (feat. Future & Khalid)
484,"Fifth Harmony, Gucci Mane",Down
485,"Jax Jones, RAYE",You Don't Know Me
486,Ariana Grande,One Last Time
487,Lauv,I Like Me Better
488,"Shawn Hook, Vanessa Hudgens",Reminding Me
489,Halsey,Bad At Love
490,"J Balvin, Jowell & Randy",Bonita
491,Future,Mask Off (feat. Kendrick Lamar) - Remix
492,Manuel Turizo,Una Lady Como Tú
493,Bebe Rexha,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version
494,Taylor Swift,Shake It Off
495,"2 Chainz, Travis Scott",4 AM
496,Taylor Swift,Blank Space
497,"Felix Jaehn, Hight, Alex Aiono",Hot2Touch
498,Anitta,Paradinha
499,James Arthur,Can I Be Him
500,ItaloBrothers,Summer Air
501,Julia Michaels,Uh Huh
502,Gucci Mane,Met Gala (feat. Offset)
503,Post Malone,Go Flex
504,"Sigala, Ella Eyre",Came Here for Love
505,Taylor Swift,Bad Blood
506,Taylor Swift,Wildest Dreams
507,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller)
508,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
509,Lorde,Homemade Dynamite
510,Lorde,Perfect Places
511,Lorde,Sober
512,Lorde,Supercut
513,Lorde,The Louvre
514,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",It's A Vibe
515,Imagine Dragons,Walking The Wire
516,Lorde,Hard Feelings/Loveless
517,Lorde,Writer In The Dark
518,SZA,Love Galore (feat. Travis Scott)
519,Lorde,Sober II (Melodrama)
520,Little Mix,Power (feat. Stormzy)
521,"2 Chainz, Gucci Mane, Quavo",Good Drank
522,Young Thug,Relationship (feat. Future)
523,"Calvin Harris, Funk Wav","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
524,Drake,Signs
525,"DJ Khaled, Calvin Harris",Don't Quit (feat. Travis Scott & Jeremih)
526,Imagine Dragons,I Don’t Know Why
527,"Metro Boomin, Offset, Drake",No Complaints
528,Imagine Dragons,I’ll Make It Up To You
529,Imagine Dragons,Rise Up
530,Khalid,Young Dumb & Broke
531,Imagine Dragons,Start Over
532,Moon Taxi,Two High
533,BLACKPINK,As If It's Your Last
534,"J Balvin, Willy William",Mi Gente
535,"Calvin Harris, Shelley FKA DRAM, Funk Wav","Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)"
536,"Calvin Harris, Funk Wav",Prayers Up (feat. Travis Scott & A-Trak)
537,"Calvin Harris, Funk Wav",Faking It (feat. Kehlani & Lil Yachty)
538,"Calvin Harris, Funk Wav",Skrt On Me (feat. Nicki Minaj)
539,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)
540,"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky)
541,"J Balvin, Bad Bunny",Si Tu Novio Te Deja Sola
542,"Thomas Rhett, Maren Morris",Craving You
543,Kesha,Praying
544,Zedd,Get Low (with Liam Payne)
545,21 Savage,Bank Account
546,21 Savage,Numb
547,Demi Lovato,Sorry Not Sorry
548,Macklemore,Glorious (feat. Skylar Grey)
549,Dua Lipa,New Rules
550,21 Savage,Famous
551,Jennifer Lopez,Ni Tú Ni Yo (feat. Gente de Zona)
553,"French Montana, The Weeknd, Max B",A Lie
554,"Coldplay, Big Sean",Miracles (Someone Special)
555,OneRepublic,Rich Love (with Seeb)
556,Portugal. The Man,Feel It Still
557,Lana Del Rey,Summer Bummer (feat. A$AP Rocky & Playboi Carti)
558,LANY,Super Far
559,Jax Jones,Instruction (feat. Demi Lovato & Stefflon Don)
560,"Kesha, The Dap-Kings Horns",Woman
561,Selena Gomez,Fetish (feat. Gucci Mane)
562,Linkin Park,In the End
563,Linkin Park,Numb
564,Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals)
565,Linkin Park,What I've Done
566,"JAY-Z, Linkin Park",Numb / Encore
567,Linkin Park,One More Light
568,Linkin Park,One Step Closer
569,Lana Del Rey,Lust For Life (with The Weeknd)
570,Linkin Park,Good Goodbye (feat. Pusha T and Stormzy)
571,Linkin Park,Crawling
572,Linkin Park,Battle Symphony
573,Lana Del Rey,13 Beaches
574,Linkin Park,Bleed It Out
575,Linkin Park,Somewhere I Belong
576,Linkin Park,Talking to Myself
577,Linkin Park,Faint
578,"Tyler, The Creator",See You Again (feat. Kali Uchis)
579,Lana Del Rey,Cherry
580,Linkin Park,Papercut
581,Lana Del Rey,Groupie Love (feat. A$AP Rocky)
582,Romeo Santos,Imitadora
583,Cash Cash,All My Love (feat. Conor Maynard)
584,Linkin Park,Leave Out All The Rest
585,Linkin Park,BURN IT DOWN
586,Linkin Park,Breaking the Habit
587,Lana Del Rey,White Mustang
588,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North)
589,"187 Strassenbande, Bonez MC, Gzuz",Millionär
590,Linkin Park,Nobody Can Save Me
591,Lana Del Rey,Beautiful People Beautiful Problems (feat. Stevie Nicks)
592,Major Lazer,Sua cara (feat. Anitta & Pabllo Vittar)
593,"Skrillex, Poo Bear",Would You Ever
594,Charli XCX,Boys
595,"Becky G, Bad Bunny",Mayores
596,Cardi B,Bodak Yellow
597,"Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas",Complicated (feat. Kiiara)
598,"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual
599,"Yo Gotti, Nicki Minaj",Rake It Up
600,Sabrina Carpenter,Why
601,Kesha,Learn To Let Go
602,Maite Perroni,Loca (feat. Cali y El Dandee)
603,Rudimental,Sun Comes Up (feat. James Arthur)
604,Rae Sremmurd,Perplexing Pegasus
605,"Camila Cabello, Young Thug",Havana
606,Camila Cabello,OMG (feat. Quavo)
607,"The Weeknd, A$AP Rocky, Young Thug",Reminder - Remix
608,"Carlos Vives, Sebastian Yatra",Robarte un Beso
609,Macklemore,Marmalade (feat. Lil Yachty)
610,blackbear,do re mi (feat. Gucci Mane)
611,"Abraham Mateo, Farruko, Christian Daniel",Loco Enamorado
612,"KAROL G, Bad Bunny",Ahora Me Llama
613,Avicii,Without You (feat. Sandro Cavazza)
614,"Marshmello, Khalid",Silence
615,Avicii,Lonely Together (feat. Rita Ora)
616,P!nk,What About Us
617,"Farruko, Bad Bunny, Rvssian",Krippy Kush
618,Avicii,You Be Love (feat. Billy Raffoul)
619,Fifth Harmony,Angel
620,Avicii,Friend Of Mine (feat. Vargas & Lagola)
621,DJ Jonathan,El Farsante
622,Ozuna,Bebe (feat. Anuel AA)
623,Avicii,What Would I Change It To (feat. AlunaGeorge)
624,Justin Bieber,Friends (with BloodPop®)
625,Chris Brown,Questions
626,Gucci Mane,I Get The Bag (feat. Migos)
627,"CNCO, Little Mix",Reggaetón Lento (Remix)
628,Miley Cyrus,Younger Now
629,"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian",Báilame - Remix
630,Thomas Rhett,Unforgettable
631,Ozuna,El Farsante
632,Kodak Black,Roll in Peace (feat. XXXTENTACION)
